Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7	Position (m) Run #8	Magnetic Field Strength (100X) (T) Run #8	Position (m) Run #9	Magnetic Field Strength (100X) (T) Run #9	Position (m) Run #10	Magnetic Field Strength (100X) (T) Run #10	Position (m) Run #11	Magnetic Field Strength (100X) (T) Run #11
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-1.9725E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	0.0000	1.0E-4	0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	0.0000	1.0E-4	0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	0.0000	1.0E-4	0.0000	1.1E-4	1.9725E-5	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	3.9450E-5	1.1E-4	1.9725E-5	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	-5.9175E-5	1.0E-4	3.9450E-5	1.1E-4	3.9450E-5	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	3.9450E-5	1.1E-4	3.9450E-5	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-1.9725E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	3.9450E-5	1.1E-4	5.9175E-5	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	5.9175E-5	1.1E-4	5.9175E-5	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.1E-4	3.9450E-5	1.0E-4	5.9175E-5	1.1E-4	1.7752E-4	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.1E-4	5.9175E-5	1.0E-4	5.9175E-5	1.1E-4	4.9312E-4	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.1E-4	5.9175E-5	1.0E-4	7.8900E-5	1.1E-4	7.6927E-4	1.1E-4	0.0000	1.0E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	-1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.1E-4	5.9175E-5	1.0E-4	9.8625E-5	1.1E-4	0.0011	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.1E-4	5.9175E-5	1.0E-4	1.1835E-4	1.1E-4	0.0014	1.1E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.1E-4	7.8900E-5	1.0E-4	1.3808E-4	1.1E-4	0.0017	1.0E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	-1.9725E-5	1.1E-4	2.5643E-4	1.0E-4	1.3808E-4	1.1E-4	0.0021	1.0E-4	0.0000	1.1E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	-1.9725E-5	1.1E-4	5.9175E-4	1.0E-4	1.5780E-4	1.1E-4	0.0024	1.0E-4	-1.9725E-5	1.0E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	-1.9725E-5	1.1E-4	8.8763E-4	1.0E-4	1.7753E-4	1.1E-4	0.0027	9.9E-5	3.9450E-5	1.0E-4
0.0000	1.2E-4	0.0000	1.1E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.0E-4	0.0000	1.1E-4	0.0012	9.9E-5	2.1697E-4	1.1E-4	0.0030	9.6E-5	3.9450E-5	1.0E-4
0.0000	1.2E-4	0.0000	1.1E-4	0.0000	1.1E-4	3.9450E-5	1.0E-4	0.0000	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0015	9.7E-5	2.9588E-4	1.1E-4	0.0034	9.4E-5	3.9450E-5	1.0E-4
0.0000	1.2E-4	0.0000	1.1E-4	0.0000	1.1E-4	5.9175E-5	1.0E-4	1.9725E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0017	9.6E-5	3.7478E-4	1.1E-4	0.0037	9.1E-5	3.9450E-5	1.0E-4
0.0000	1.2E-4	0.0000	1.1E-4	0.0000	1.1E-4	5.9175E-5	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0020	9.4E-5	4.5368E-4	1.1E-4	0.0041	8.9E-5	5.9175E-5	1.0E-4
0.0000	1.2E-4	0.0000	1.1E-4	0.0000	1.1E-4	1.1835E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0023	9.2E-5	5.3258E-4	1.1E-4	0.0044	8.6E-5	5.9175E-5	1.0E-4
0.0000	1.2E-4	0.0000	1.1E-4	0.0000	1.1E-4	1.5780E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0026	9.1E-5	6.5093E-4	1.1E-4	0.0048	8.4E-5	1.7752E-4	1.0E-4
0.0000	1.1E-4	0.0000	1.1E-4	0.0000	1.1E-4	2.1697E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0029	8.9E-5	9.4680E-4	1.1E-4	0.0052	8.2E-5	2.9588E-4	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	0.0000	1.1E-4	2.9588E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0033	8.7E-5	0.0013	1.1E-4	0.0056	8.0E-5	4.5367E-4	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	-5.9175E-5	1.1E-4	3.9450E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	-1.9725E-5	1.1E-4	0.0037	8.5E-5	0.0018	1.1E-4	0.0061	7.8E-5	6.3120E-4	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	-5.9175E-5	1.1E-4	4.9312E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	0.0000	1.1E-4	0.0041	8.3E-5	0.0023	1.1E-4	0.0065	7.6E-5	8.8762E-4	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	-5.9175E-5	1.1E-4	5.9175E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	5.9175E-5	1.1E-4	0.0045	8.1E-5	0.0028	1.0E-4	0.0070	7.4E-5	0.0012	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	-5.9175E-5	1.1E-4	6.9037E-4	1.0E-4	3.9450E-5	1.0E-4	1.9725E-5	1.0E-4	5.9175E-5	1.1E-4	0.0050	7.9E-5	0.0033	1.0E-4	0.0074	7.1E-5	0.0015	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	-5.9175E-5	1.1E-4	7.8900E-4	1.0E-4	3.9450E-5	1.0E-4	3.9450E-5	1.0E-4	5.9175E-5	1.1E-4	0.0055	7.7E-5	0.0038	9.9E-5	0.0079	6.9E-5	0.0019	1.0E-4
0.0000	1.1E-4	-1.9725E-5	1.1E-4	-5.9175E-5	1.1E-4	9.0735E-4	1.0E-4	5.9175E-5	1.0E-4	5.9175E-5	1.0E-4	7.8900E-5	1.1E-4	0.0060	7.5E-5	0.0044	9.6E-5	0.0084	6.6E-5	0.0023	1.0E-4
0.0000	1.1E-4	0.0000	1.1E-4	-3.9450E-5	1.1E-4	0.0010	1.0E-4	1.1835E-4	1.0E-4	9.8625E-5	1.0E-4	7.8900E-5	1.1E-4	0.0066	7.3E-5	0.0049	9.2E-5	0.0089	6.4E-5	0.0027	9.9E-5
0.0000	1.1E-4	3.9450E-5	1.1E-4	-3.9450E-5	1.1E-4	0.0011	1.0E-4	1.7752E-4	1.0E-4	1.1835E-4	1.0E-4	7.8900E-5	1.1E-4	0.0071	7.1E-5	0.0055	8.9E-5	0.0094	6.2E-5	0.0031	9.6E-5
0.0000	1.1E-4	5.9175E-5	1.1E-4	-3.9450E-5	1.1E-4	0.0012	9.9E-5	2.1697E-4	1.0E-4	1.3808E-4	1.0E-4	7.8900E-5	1.1E-4	0.0077	6.9E-5	0.0060	8.6E-5	0.0099	6.0E-5	0.0035	9.4E-5
0.0000	1.1E-4	5.9175E-5	1.1E-4	-3.9450E-5	1.1E-4	0.0013	9.9E-5	2.5643E-4	1.0E-4	1.5780E-4	1.1E-4	1.5780E-4	1.1E-4	0.0082	6.7E-5	0.0065	8.3E-5	0.0104	5.8E-5	0.0039	9.1E-5
-1.9725E-5	1.1E-4	5.9175E-5	1.1E-4	-3.9450E-5	1.1E-4	0.0014	9.8E-5	2.7615E-4	1.0E-4	1.9725E-4	1.1E-4	1.9725E-4	1.1E-4	0.0088	6.5E-5	0.0069	8.0E-5	0.0109	5.6E-5	0.0043	8.9E-5
-1.9725E-5	1.1E-4	1.5780E-4	1.1E-4	-3.9450E-5	1.1E-4	0.0015	9.7E-5	3.1560E-4	1.0E-4	2.3670E-4	1.1E-4	2.5643E-4	1.1E-4	0.0093	6.2E-5	0.0074	7.7E-5	0.0115	5.4E-5	0.0047	8.6E-5
