Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0000	9.8E-6	0.0000	1.1E-5	0.0000	7.4E-6	0.0000	8.9E-6	0.0000	1.1E-5	0.0000	8.5E-6	1.9725E-5	1.2E-5
0.0000	1.0E-5	0.0000	1.1E-5	0.0000	7.4E-6	0.0000	8.4E-6	0.0000	1.0E-5	0.0000	8.5E-6	-3.9450E-5	1.2E-5
0.0000	1.1E-5	0.0000	1.1E-5	0.0000	7.5E-6	0.0000	8.1E-6	0.0000	1.0E-5	0.0000	8.6E-6	-3.9450E-5	1.2E-5
1.9725E-5	1.1E-5	0.0000	1.1E-5	0.0000	7.5E-6	0.0000	7.9E-6	0.0000	9.9E-6	0.0000	8.7E-6	-3.9450E-5	1.1E-5
1.9725E-5	1.1E-5	0.0000	1.1E-5	-1.9725E-5	7.3E-6	0.0000	7.8E-6	0.0000	9.6E-6	0.0000	8.9E-6	-1.9725E-5	1.1E-5
1.9725E-5	1.1E-5	0.0000	1.1E-5	-1.9725E-5	7.2E-6	0.0000	7.9E-6	0.0000	9.3E-6	0.0000	9.0E-6	-6.7763E-21	1.1E-5
1.9725E-5	1.2E-5	0.0000	1.1E-5	-1.9725E-5	7.1E-6	-5.9175E-5	7.9E-6	0.0000	9.1E-6	-1.9725E-5	9.1E-6	1.9725E-5	1.1E-5
1.9725E-5	1.2E-5	0.0000	1.1E-5	0.0000	7.0E-6	-5.9175E-5	8.0E-6	0.0000	9.0E-6	-3.9450E-5	9.3E-6	1.9725E-5	1.1E-5
1.9725E-5	1.2E-5	1.9725E-5	1.2E-5	0.0000	6.8E-6	-5.9175E-5	8.1E-6	0.0000	9.0E-6	-5.9175E-5	9.5E-6	1.9725E-5	1.1E-5
0.0000	1.2E-5	1.9725E-5	1.2E-5	0.0000	6.7E-6	-5.9175E-5	8.2E-6	0.0000	8.9E-6	-5.9175E-5	9.6E-6	1.9725E-5	1.1E-5
-1.9725E-5	1.2E-5	1.9725E-5	1.2E-5	0.0000	6.6E-6	-5.9175E-5	8.4E-6	0.0000	8.8E-6	-5.9175E-5	9.7E-6	-6.7763E-21	1.1E-5
0.0000	1.2E-5	1.9725E-5	1.2E-5	3.9450E-5	6.5E-6	-3.9450E-5	8.6E-6	1.9725E-5	9.0E-6	-5.9175E-5	9.8E-6	-1.9725E-5	1.1E-5
0.0000	1.2E-5	3.9450E-5	1.2E-5	5.9175E-5	6.5E-6	-3.9450E-5	8.8E-6	1.9725E-5	9.2E-6	-5.9175E-5	9.8E-6	-1.9725E-5	1.1E-5
0.0000	1.2E-5	5.9175E-5	1.1E-5	5.9175E-5	6.5E-6	-1.9725E-5	9.0E-6	1.9725E-5	9.3E-6	-3.9450E-5	9.9E-6	-1.9725E-5	1.1E-5
0.0000	1.2E-5	7.8900E-5	1.1E-5	5.9175E-5	6.4E-6	-6.7763E-21	9.2E-6	3.9450E-5	9.5E-6	-3.9450E-5	9.9E-6	-1.9725E-5	1.1E-5
0.0000	1.2E-5	7.8900E-5	1.1E-5	7.8900E-5	6.5E-6	1.9725E-5	9.4E-6	3.9450E-5	9.5E-6	-3.9450E-5	9.9E-6	-6.7763E-21	1.1E-5
0.0000	1.2E-5	7.8900E-5	1.1E-5	1.5780E-4	6.7E-6	1.9725E-5	9.5E-6	3.9450E-5	9.4E-6	-3.9450E-5	9.8E-6	-6.7763E-21	1.1E-5
0.0000	1.1E-5	9.8625E-5	1.1E-5	2.7615E-4	7.0E-6	1.9725E-5	9.7E-6	3.9450E-5	9.2E-6	-3.9450E-5	9.7E-6	-6.7763E-21	1.1E-5
0.0000	1.1E-5	2.1697E-4	1.1E-5	3.7477E-4	7.3E-6	3.9450E-5	1.0E-5	3.9450E-5	9.1E-6	-3.9450E-5	9.5E-6	1.9725E-5	1.1E-5
1.9725E-5	1.1E-5	3.3533E-4	1.1E-5	4.3395E-4	7.4E-6	3.9450E-5	1.0E-5	5.9175E-5	9.1E-6	-3.9450E-5	9.4E-6	3.9450E-5	1.1E-5
1.9725E-5	1.1E-5	4.3395E-4	1.1E-5	5.3258E-4	7.4E-6	3.9450E-5	1.0E-5	1.1835E-4	9.0E-6	-1.9725E-5	9.4E-6	5.9175E-5	1.0E-5
1.9725E-5	1.0E-5	4.9312E-4	1.1E-5	6.3120E-4	7.4E-6	5.9175E-5	1.1E-5	1.9725E-4	9.0E-6	-1.9725E-5	9.3E-6	7.8900E-5	1.0E-5
1.9725E-5	1.0E-5	5.3258E-4	1.0E-5	7.4955E-4	7.3E-6	5.9175E-5	1.1E-5	2.9587E-4	9.1E-6	-1.9725E-5	9.2E-6	1.9725E-4	1.0E-5
1.9725E-5	1.0E-5	5.9175E-4	1.0E-5	8.4817E-4	7.3E-6	1.5780E-4	1.1E-5	4.1422E-4	9.3E-6	-1.9725E-5	9.3E-6	2.7615E-4	1.0E-5
0.0000	1.0E-5	6.9037E-4	1.0E-5	9.6653E-4	7.4E-6	2.5643E-4	1.1E-5	5.3258E-4	9.5E-6	-1.9725E-5	9.5E-6	3.7477E-4	1.0E-5
0.0000	1.0E-5	8.2845E-4	9.8E-6	0.0011	7.5E-6	3.5505E-4	1.1E-5	6.5092E-4	9.6E-6	-1.9725E-5	9.7E-6	4.7340E-4	1.0E-5
0.0000	1.0E-5	9.6652E-4	9.6E-6	0.0012	7.7E-6	4.3395E-4	1.1E-5	8.0872E-4	9.6E-6	0.0000	9.9E-6	5.3257E-4	1.0E-5
1.9725E-5	1.0E-5	0.0011	9.4E-6	0.0014	7.8E-6	5.1285E-4	1.1E-5	9.6653E-4	9.5E-6	0.0000	1.0E-5	6.3120E-4	1.0E-5
1.9725E-5	1.0E-5	0.0012	9.2E-6	0.0015	8.0E-6	6.3120E-4	1.0E-5	0.0011	9.4E-6	0.0000	1.0E-5	7.2982E-4	1.0E-5
1.9725E-5	9.9E-6	0.0013	9.0E-6	0.0017	8.2E-6	7.2982E-4	1.0E-5	0.0013	9.3E-6	1.9725E-5	1.0E-5	8.4817E-4	1.0E-5
3.9450E-5	9.6E-6	0.0015	9.0E-6	0.0019	8.2E-6	8.6790E-4	1.0E-5	0.0015	9.2E-6	3.9450E-5	1.0E-5	9.8625E-4	1.1E-5
3.9450E-5	9.3E-6	0.0016	9.0E-6	0.0020	8.3E-6	0.0010	1.0E-5	0.0017	9.2E-6	5.9175E-5	1.0E-5	0.0011	1.1E-5
5.9175E-5	9.1E-6	0.0018	9.2E-6	0.0022	8.3E-6	0.0012	1.0E-5	0.0019	9.1E-6	1.5780E-4	1.1E-5	0.0013	1.1E-5
5.9175E-5	8.9E-6	0.0020	9.4E-6	0.0024	8.4E-6	0.0014	1.0E-5	0.0021	9.1E-6	2.7615E-4	1.1E-5	0.0015	1.1E-5
7.8900E-5	9.0E-6	0.0022	9.6E-6	0.0026	8.5E-6	0.0016	1.0E-5	0.0023	9.2E-6	4.3395E-4	1.1E-5	0.0016	1.1E-5
7.8900E-5	9.2E-6	0.0023	9.6E-6	0.0028	8.6E-6	0.0017	1.0E-5	0.0025	9.5E-6	6.1148E-4	1.1E-5	0.0018	1.1E-5
1.9725E-4	9.4E-6	0.0025	9.6E-6	0.0029	8.7E-6	0.0019	1.0E-5	0.0027	9.6E-6	7.8900E-4	1.1E-5	0.0019	1.1E-5
2.5643E-4	9.5E-6	0.0027	9.5E-6	0.0031	8.8E-6	0.0021	1.0E-5	0.0029	9.8E-6	0.0010	1.1E-5	0.0021	1.2E-5
3.3533E-4	9.6E-6	0.0029	9.4E-6	0.0033	8.9E-6	0.0022	1.0E-5	0.0031	9.9E-6	0.0012	1.1E-5	0.0023	1.2E-5
4.1422E-4	9.6E-6	0.0031	9.3E-6	0.0035	9.1E-6	0.0024	1.0E-5	0.0033	1.0E-5	0.0015	1.1E-5	0.0025	1.2E-5
4.7340E-4	9.6E-6	0.0033	9.2E-6	0.0038	9.3E-6	0.0025	1.0E-5	0.0036	1.0E-5	0.0018	1.1E-5	0.0027	1.2E-5
5.3258E-4	9.5E-6	0.0036	9.3E-6	0.0040	9.6E-6	0.0027	1.0E-5	0.0038	1.1E-5	0.0021	1.1E-5	0.0029	1.2E-5
5.9175E-4	9.5E-6	0.0038	9.4E-6	0.0043	9.7E-6	0.0029	1.0E-5	0.0041	1.1E-5	0.0023	1.1E-5	0.0031	1.3E-5
6.7065E-4	9.5E-6	0.0041	9.6E-6	0.0046	9.7E-6	0.0031	1.0E-5	0.0044	1.1E-5	0.0026	1.1E-5	0.0033	1.3E-5
7.4955E-4	9.5E-6	0.0044	9.8E-6	0.0049	9.7E-6	0.0033	1.1E-5	0.0046	1.2E-5	0.0029	1.1E-5	0.0036	1.3E-5
