Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	0.0000	1.3E-5	0.0000	1.4E-5	-1.9725E-5	1.4E-5	0.0000	1.6E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	1.9725E-5	1.4E-5	0.0000	1.4E-5	-3.9450E-5	1.4E-5	0.0000	1.6E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	1.9725E-5	1.4E-5	0.0000	1.4E-5	-3.9450E-5	1.4E-5	0.0000	1.6E-5
0.0000	1.5E-5	0.0000	1.5E-5	0.0000	1.2E-5	1.9725E-5	1.3E-5	0.0000	1.4E-5	-3.9450E-5	1.4E-5	0.0000	1.7E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	1.9725E-5	1.3E-5	0.0000	1.4E-5	-3.9450E-5	1.4E-5	0.0000	1.6E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	1.9725E-5	1.3E-5	0.0000	1.3E-5	-1.9725E-5	1.4E-5	0.0000	1.6E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	5.9175E-5	1.3E-5	0.0000	1.3E-5	0.0000	1.4E-5	0.0000	1.7E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.2E-5	1.3807E-4	1.3E-5	0.0000	1.3E-5	1.9725E-5	1.4E-5	-1.9725E-5	1.7E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	1.9725E-4	1.3E-5	0.0000	1.3E-5	1.9725E-5	1.4E-5	-1.9725E-5	1.7E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	2.5643E-4	1.3E-5	0.0000	1.3E-5	3.9450E-5	1.4E-5	-1.9725E-5	1.7E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	3.1560E-4	1.3E-5	0.0000	1.3E-5	3.9450E-5	1.4E-5	-1.9725E-5	1.7E-5
1.9725E-5	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	3.5505E-4	1.3E-5	0.0000	1.3E-5	3.9450E-5	1.4E-5	-1.9725E-5	1.7E-5
0.0000	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	4.1422E-4	1.3E-5	0.0000	1.3E-5	3.9450E-5	1.4E-5	-1.9725E-5	1.7E-5
-1.9725E-5	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	4.7340E-4	1.2E-5	0.0000	1.3E-5	5.9175E-5	1.5E-5	-1.9725E-5	1.7E-5
-1.9725E-5	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	5.7203E-4	1.2E-5	0.0000	1.3E-5	1.7752E-4	1.5E-5	-1.9725E-5	1.7E-5
-1.9725E-5	1.6E-5	0.0000	1.5E-5	0.0000	1.3E-5	6.9038E-4	1.2E-5	0.0000	1.3E-5	3.5505E-4	1.5E-5	0.0000	1.7E-5
-1.9725E-5	1.6E-5	0.0000	1.5E-5	-3.9450E-5	1.3E-5	7.8900E-4	1.2E-5	0.0000	1.3E-5	5.1285E-4	1.5E-5	1.9725E-5	1.7E-5
-1.9725E-5	1.6E-5	0.0000	1.5E-5	-3.9450E-5	1.3E-5	8.8763E-4	1.2E-5	0.0000	1.3E-5	6.9037E-4	1.4E-5	3.9450E-5	1.7E-5
-1.9725E-5	1.6E-5	0.0000	1.4E-5	-3.9450E-5	1.3E-5	9.8625E-4	1.2E-5	-1.9725E-5	1.3E-5	8.6790E-4	1.4E-5	5.9175E-5	1.8E-5
0.0000	1.6E-5	0.0000	1.4E-5	-3.9450E-5	1.3E-5	0.0011	1.2E-5	-1.9725E-5	1.3E-5	0.0011	1.4E-5	5.9175E-5	1.8E-5
0.0000	1.6E-5	0.0000	1.4E-5	-3.9450E-5	1.3E-5	0.0012	1.2E-5	-1.9725E-5	1.3E-5	0.0013	1.4E-5	1.5780E-4	1.8E-5
1.9725E-5	1.6E-5	0.0000	1.4E-5	-3.9450E-5	1.3E-5	0.0014	1.2E-5	0.0000	1.3E-5	0.0015	1.3E-5	2.9588E-4	1.8E-5
3.9450E-5	1.6E-5	0.0000	1.4E-5	-3.9450E-5	1.4E-5	0.0016	1.2E-5	1.9725E-5	1.3E-5	0.0018	1.3E-5	3.9450E-4	1.8E-5
3.9450E-5	1.6E-5	0.0000	1.4E-5	-3.9450E-5	1.4E-5	0.0017	1.2E-5	1.9725E-5	1.3E-5	0.0020	1.3E-5	5.1285E-4	1.8E-5
3.9450E-5	1.6E-5	-3.9450E-5	1.4E-5	-3.9450E-5	1.4E-5	0.0019	1.2E-5	1.9725E-5	1.3E-5	0.0022	1.3E-5	5.9175E-4	1.7E-5
3.9450E-5	1.6E-5	-3.9450E-5	1.4E-5	-1.9725E-5	1.4E-5	0.0020	1.3E-5	3.9450E-5	1.4E-5	0.0025	1.3E-5	6.9037E-4	1.7E-5
5.9175E-5	1.6E-5	-3.9450E-5	1.4E-5	-1.9725E-5	1.4E-5	0.0021	1.3E-5	3.9450E-5	1.4E-5	0.0027	1.3E-5	8.0873E-4	1.7E-5
5.9175E-5	1.6E-5	-1.9725E-5	1.4E-5	-1.9725E-5	1.4E-5	0.0022	1.3E-5	9.8625E-5	1.4E-5	0.0029	1.3E-5	9.4680E-4	1.7E-5
5.9175E-5	1.6E-5	0.0000	1.4E-5	0.0000	1.4E-5	0.0024	1.3E-5	2.9587E-4	1.4E-5	0.0032	1.4E-5	0.0011	1.7E-5
7.8900E-5	1.6E-5	3.9450E-5	1.4E-5	1.9725E-5	1.4E-5	0.0025	1.3E-5	4.7340E-4	1.4E-5	0.0034	1.4E-5	0.0012	1.7E-5
1.3807E-4	1.6E-5	3.9450E-5	1.4E-5	5.9175E-5	1.4E-5	0.0027	1.3E-5	6.3120E-4	1.3E-5	0.0036	1.4E-5	0.0013	1.7E-5
2.1697E-4	1.6E-5	3.9450E-5	1.4E-5	5.9175E-5	1.4E-5	0.0028	1.3E-5	8.4817E-4	1.3E-5	0.0038	1.4E-5	0.0015	1.8E-5
3.1560E-4	1.6E-5	5.9175E-5	1.4E-5	7.8900E-5	1.4E-5	0.0030	1.3E-5	0.0010	1.3E-5	0.0040	1.4E-5	0.0016	1.8E-5
4.1422E-4	1.6E-5	5.9175E-5	1.4E-5	1.3807E-4	1.4E-5	0.0032	1.3E-5	0.0012	1.4E-5	0.0042	1.4E-5	0.0017	1.8E-5
5.1285E-4	1.6E-5	2.1697E-4	1.4E-5	2.7615E-4	1.4E-5	0.0033	1.4E-5	0.0014	1.4E-5	0.0045	1.4E-5	0.0019	1.8E-5
6.1147E-4	1.6E-5	3.1560E-4	1.4E-5	3.7477E-4	1.4E-5	0.0035	1.4E-5	0.0016	1.4E-5	0.0047	1.4E-5	0.0020	1.8E-5
7.2982E-4	1.6E-5	3.9450E-4	1.4E-5	4.3395E-4	1.4E-5	0.0037	1.4E-5	0.0017	1.4E-5	0.0050	1.4E-5	0.0022	1.8E-5
8.2845E-4	1.5E-5	4.7340E-4	1.4E-5	4.7340E-4	1.4E-5	0.0040	1.4E-5	0.0019	1.4E-5	0.0053	1.4E-5	0.0023	1.8E-5
9.4680E-4	1.6E-5	5.7202E-4	1.4E-5	5.3258E-4	1.4E-5	0.0043	1.4E-5	0.0021	1.4E-5	0.0055	1.4E-5	0.0026	1.8E-5
0.0010	1.5E-5	6.7065E-4	1.4E-5	6.5092E-4	1.4E-5	0.0045	1.5E-5	0.0023	1.4E-5	0.0058	1.4E-5	0.0028	1.8E-5
0.0012	1.5E-5	7.6927E-4	1.4E-5	7.8900E-4	1.4E-5	0.0048	1.5E-5	0.0024	1.4E-5	0.0061	1.4E-5	0.0030	1.8E-5
0.0013	1.5E-5	8.8762E-4	1.4E-5	9.4680E-4	1.4E-5	0.0052	1.5E-5	0.0027	1.4E-5	0.0064	1.5E-5	0.0032	1.8E-5
0.0015	1.5E-5	9.6653E-4	1.4E-5	0.0011	1.4E-5	0.0055	1.5E-5	0.0029	1.4E-5	0.0066	1.5E-5	0.0035	1.9E-5
0.0016	1.6E-5	0.0011	1.4E-5	0.0012	1.4E-5	0.0059	1.5E-5	0.0031	1.4E-5	0.0069	1.6E-5	0.0039	1.9E-5
0.0018	1.6E-5	0.0011	1.4E-5	0.0013	1.4E-5	0.0063	1.5E-5	0.0034	1.4E-5	0.0071	1.6E-5	0.0042	1.9E-5
0.0020	1.6E-5	0.0012	1.4E-5	0.0014	1.4E-5	0.0066	1.5E-5	0.0036	1.4E-5	0.0074	1.6E-5	0.0046	1.9E-5
0.0022	1.6E-5	0.0013	1.4E-5	0.0016	1.4E-5	0.0068	1.6E-5	0.0039	1.4E-5	0.0077	1.7E-5	0.0050	1.9E-5
0.0023	1.6E-5	0.0015	1.5E-5	0.0017	1.4E-5	0.0071	1.6E-5	0.0042	1.4E-5	0.0080	1.7E-5	0.0053	1.9E-5
0.0025	1.6E-5	0.0016	1.5E-5	0.0019	1.4E-5	0.0073	1.6E-5	0.0046	1.4E-5	0.0084	1.8E-5	0.0056	1.9E-5
0.0027	1.6E-5	0.0018	1.5E-5	0.0020	1.4E-5	0.0076	1.6E-5	0.0050	1.4E-5	0.0087	1.8E-5	0.0060	1.9E-5
0.0029	1.6E-5	0.0020	1.5E-5	0.0022	1.5E-5	0.0079	1.6E-5	0.0054	1.5E-5	0.0091	1.8E-5	0.0063	1.9E-5
0.0031	1.6E-5	0.0022	1.5E-5	0.0025	1.5E-5	0.0082	1.6E-5	0.0058	1.5E-5	0.0094	1.9E-5	0.0067	2.0E-5
0.0033	1.6E-5	0.0025	1.5E-5	0.0027	1.5E-5	0.0085	1.7E-5	0.0062	1.5E-5	0.0097	1.9E-5	0.0070	2.0E-5
0.0035	1.6E-5	0.0027	1.6E-5	0.0030	1.5E-5	0.0088	1.7E-5	0.0065	1.5E-5	0.0100	1.9E-5	0.0074	2.0E-5
0.0037	1.6E-5	0.0030	1.6E-5	0.0033	1.5E-5	0.0091	1.8E-5	0.0069	1.5E-5	0.0102	1.9E-5	0.0078	2.0E-5
0.0039	1.6E-5	0.0032	1.6E-5	0.0036	1.5E-5	0.0094	1.8E-5	0.0072	1.6E-5	0.0105	1.9E-5	0.0081	2.1E-5
0.0041	1.6E-5	0.0034	1.6E-5	0.0039	1.5E-5	0.0097	1.8E-5	0.0074	1.6E-5	0.0108	1.9E-5	0.0085	2.1E-5
0.0043	1.6E-5	0.0036	1.6E-5	0.0042	1.5E-5	0.0100	1.9E-5	0.0077	1.6E-5	0.0111	2.0E-5	0.0088	2.1E-5
0.0046	1.7E-5	0.0037	1.6E-5	0.0045	1.5E-5	0.0102	1.9E-5	0.0079	1.6E-5	0.0115	2.0E-5	0.0092	2.1E-5
0.0049	1.7E-5	0.0039	1.6E-5	0.0048	1.5E-5	0.0105	1.9E-5	0.0082	1.6E-5	0.0118	2.0E-5	0.0095	2.1E-5
0.0052	1.7E-5	0.0040	1.6E-5	0.0051	1.6E-5	0.0108	2.0E-5	0.0085	1.6E-5	0.0122	2.0E-5	0.0099	2.2E-5
0.0055	1.7E-5	0.0042	1.6E-5	0.0055	1.6E-5	0.0110	2.0E-5	0.0088	1.6E-5	0.0125	2.0E-5	0.0102	2.2E-5
0.0059	1.7E-5	0.0043	1.6E-5	0.0059	1.6E-5	0.0113	2.0E-5	0.0091	1.7E-5	0.0129	2.0E-5	0.0106	2.2E-5
0.0062	1.7E-5	0.0045	1.6E-5	0.0063	1.6E-5	0.0116	2.0E-5	0.0094	1.7E-5	0.0132	2.0E-5	0.0109	2.2E-5
0.0065	1.7E-5	0.0046	1.6E-5	0.0066	1.6E-5	0.0119	2.1E-5	0.0097	1.8E-5	0.0136	2.0E-5	0.0112	2.2E-5
